Tweet;Provider;Label1;Label2;Label3;Label
@Telkomsel pulsa saya kok suka tiba tiba berkurang yah? Padahal ngga di pake buat apa apa, itu kenapa?;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Memang bang... Semakin parah.... Mana harga paketnya mahal lagi....;Telkomsel;-1;-1;-1;-1
Maksudnya jam segini saya disuru keluar ujan ujanan gitu? Telkomsel cuma bisa dipakai di area terbuka aja kalo gitu? Di pake di dalem rumah ga bisa? Anda bercanda, Bung.;Telkomsel;-1;-1;-1;-1
TSB MAXstream gamau open, padahal udah beli paketan @Telkomsel parah;Telkomsel;-1;-1;0;-1
Anda tak sendirii. Malem ini yang terparah sejak beberapa hari ini. Sengaja blm tidur mau buktiin klo di jam non rush hour pun kecepatannya ancur.;Telkomsel;-1;-1;-1;-1
saya mau tanya jam segini masa iya kecepatan saya turun ancur kaya gini gara2 banyaknya pengguna di sekitar? Ini jam 1 malem loh. Mau pake alasan yg ga masuk logika apa lagi?;Telkomsel;-1;-1;-1;-1
@Telkomsel @meph_meph Kirain aku doang yg kehilangan sinyal Tsel mlm ini \ud83d\ude38;Telkomsel;-1;0;-1;-1
Sudah melakukan semua suggestnya cs, masih juga lelet sinyalnya. Kalo boleh suggest balik, mending telkomsel sendiri yg perbagus jaringan, jgn customernya trs yg disuruh pindah tempat atau reset jaringan atau ganti hp, atau skalian ganti operator..;Telkomsel;-1;-1;-1;-1
"@Telkomsel malam min sinyal saya h+/4g saat biasa tidak buka apa\"" tapi saat buka browser sinyal hilang dan tidak bisa di pake internet";Telkomsel;-1;0;-1;-1
@Dennysiregar7 @Telkomsel Yup..ga bisa buat maen R.O.S payah..;Telkomsel;-1;-1;-1;-1
Fakyuu telkomsel gagal chicken 2 kali gara gara kamu-_-;Telkomsel;-1;-1;-1;-1
@Telkomsel Tiap lewatin stasiun Depok ama Pasar Minggu sinyal ilang.\nTolong lah tolong..\nIni di Jakarta loh bukan di pelosok;Telkomsel;-1;-1;-1;-1
@Telkomsel nih paan. Sinyal 4G tapi ngeloading mulu. -_____-;Telkomsel;-1;-1;-1;-1
pake roaming 3 di sg sama malaysia lemot ga siiiii? harga telkomsel sadis amat sih \ud83d\ude2d;Telkomsel;-1;-1;-1;-1
@Telkomsel kok jaringan tdk stabil yah di papua pada 3G semua yh,;Telkomsel;-1;-1;-1;-1
masih cuk, signal lu dari tadi kek tayi Ini aja 4G dapet 2 smp 3 bar doang. Harga mahal kualitas bobrok. (percuma curhat sama bot ini);Telkomsel;-1;-1;-1;-1
Coba aja paketnya bisa berlaku 1 bln kan bagus.mana nggak ada promo paket combo. Kurang enak. Jaringan juga mulai nopember kemarin kebanyakan lelet;Telkomsel;-1;-1;-1;-1
@smartfrenworld memang lagi parah sih kak jaringan nya @Telkomsel  \ud83d\ude02 https://t.co/Yk3ScuUuIz;Telkomsel;-1;-1;-1;-1
RT @Dennysiregar7: Apa saya sendiri yang merasa kalau @Telkomsel semakin hari semakin lelet internetnya ?;Telkomsel;-1;-1;-1;-1
Halo mas/mba @Telkomsel saya mau nanya kenapa jaringan Anda di area rumah saya lemot sekali ya?;Telkomsel;-1;-1;-1;-1
Bohong mah, , , paket mahal, jaringan susah, , , nyusahin masyarakat aja;Telkomsel;-1;-1;-1;-1
@Telkomsel @Rhiner97 Ini sepertinya untuk mengatasi 1 hp, disatu lokasi aja ya? Yg lain juga masalah nya sama telkomsel lambat...;Telkomsel;-1;-1;-1;-1
Bisa bantu jelaskan kenapa ? Mengapa ? Jaringan saya selalu bermasalah(tiada/tidak ada jaringan) sudah dua hari ini. @Telkomsel;Telkomsel;-1;-1;-1;-1
RT @CNNIndonesia: Pelanggan Telkomsel Keluhkan SMS Iklan Mengganggu https://t.co/OAQ1UtHWde https://t.co/HGERVhf8Lp;Telkomsel;-1;0;0;0
Telkomsel sucks! Mati lampu sinyal hilang. Menang mahal doang.;Telkomsel;-1;-1;-1;-1
@Telkomsel Gini mulu dari kemaren.... Capek akutu~ \n50gb ku percuma klo sinyal krlen sm gebetan sama! Iyaa sama...\u2026 https://t.co/xGFILRjjkm;Telkomsel;-1;-1;-1;-1
Dear @Telkomsel gangguanny kapan selesai ya? Dari kmrn super lemot n kadang bener2 gk bs akses inet \ud83d\ude23;Telkomsel;-1;-1;-1;-1
Buka app MyTelkomsel saja looding nya sewindu \ud83d\ude11 , gimna nih @Telkomsel bukannya semakin baik setelah di update app MyTelkomsel banyak gangguannya;Telkomsel;-1;-1;-1;-1
@Telkomsel ini tsel bukan min?? lama bener nnggu bls dm nya!! klo ia gmn critanya bs kek gitu????!! https://t.co/csZ7Z8Iv3z;Telkomsel;-1;-1;-1;-1
@istJEFRINCHL Alah telkomsel mahal.;Telkomsel;-1;-1;-1;-1
Di hp pake mobile data sinyal 4g penuh tp ngeload gambar di twitter aja 2 taun dong;Telkomsel;-1;-1;-1;-1
Waduuuh kapok klo kayak gini nih pake telkomsel mahal doank;Telkomsel;-1;-1;-1;-1
Kalau di sana Verizon udh mulai aktifin jaringan 5G, di sini @Telkomsel masih aja dengan signal 4G yang timbul tenggelam.;Telkomsel;-1;-1;-1;-1
Kenapa saat di butuhkan jaringan malah error\ud83d\ude21\ud83d\ude21 #Telkomsel #telkomselerror #telkomselphp;Telkomsel;-1;-1;-1;-1
kan lumayan gratisan @Telkomsel HAHAHHA. abisnya ane kena perangkap kalian sih, trus pelayanan nya juga ga memuaskan, masa DM ga dibales bales. harga mahal pelanggan komplain dicuekin :(;Telkomsel;-1;-1;-1;-1
min gue ga bayar deh ya paket Halo nya. nyesel gue juga. angus juga bodo amat deh. tinggal pake provider lain hehehe :) @Telkomsel;Telkomsel;-1;-1;-1;-1
Super emosi ama sinyal telkomsel malem ini hhhhhhhhhhhh;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel 4G rasa GPRS;Telkomsel;-1;-1;-1;-1
@Telkomsel mahal doang luh!;Telkomsel;-1;-1;-1;-1
sangat kecewa dgn paketan, disitu tertera 12 paket internet tapi nyatanya dibagi 2 kuota lokal 12GB dan 2GB internet Dan lusa saya harus keluar kota ah merasa kena tipu salah pilih paket tau gtu beli paket vaganza selisih 2rb rupiah;Telkomsel;-1;-1;-1;-1
@aanisans @Telkomsel Setuju banget! \nGatau knp Telkomsel akhir akhir ini lagi mengecewakan: ((;Telkomsel;-1;-1;-1;-1
BODO AMAT TELKOMSEL AKU MAU MARAH https://t.co/gLWe9PBx04;Telkomsel;-1;-1;-1;-1
@Telkomsel Sudah dicomplain silahkan cek aduan atas nama ibnu malik dan tapi tindaklanjutnya tdk sesuai yg diharapkan :(;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Parah malah..gimana ini @Telkomsel;Telkomsel;-1;-1;-1;-1
@Telkomsel halooo ini knp ya jaringan 4gnya ilang dan 3g tdk stabil parah di bekasi timu;Telkomsel;-1;-1;-1;-1
Beberapa minggu terakhir, dibingungkan sama telkomsel. Yg biasanya koneksi lancar jaya ga pernah ada hambatan (kecuali kalo kuota udh mau abis) jd suka ngadat tb2 dan pas cek kuota, masih di atas 4gb. Ini ada apa;Telkomsel;-1;-1;-1;-1
Paket mahal tp makin lemot...yess telkomsel bikin emosi;Telkomsel;-1;-1;-1;-1
tolong itu sinyal dari kemarin kaya ingus naik turun g jelas... Mau bangkrut apa gimana Gausah tanya2 merk hape dan lokasi, udah ngaku aja iya kan;Telkomsel;-1;-1;-1;-1
@Telkomsel Kenapa daerah donggala setiap malam dr kmrn sinyalnya hilang?-_- jd gabisa ngirim laporan min pfff;Telkomsel;-1;-1;-1;-1
Sama bang :( Mau balas pesan aja pending mulu jangan kan buka Instagram, Twitter or YouTube yg lebih berat balas pesan WhatsApp aja gambar jam dinding mulu :((;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel .\n\nLancar dan kunceng kok, coba ganti perangkat anda.;Telkomsel;1;1;1;1
Sama Bang, daerah kampung nya abang juga gitu, Medan, sy pikir HP yg bermasalah ternyata bukan, Sinyal telpon juga berantakan, suaranya seperti menderu, nggak jelas kalo nelpon, cuma sayang pindah aja krn nomor pilihan dan sudah lama pake nya;Telkomsel;-1;-1;-1;-1
Malam.. Ini jaringan saya knp lemot ya semenjak beli data baru? Padahal biasnya lancar jaya, kondisi juga sdg tidak hujan disini..;Telkomsel;-1;-1;-1;-1
@Telkomsel Min, ini jaringan di kuningan jaksel emang lagi payah, atau emang di nomor saya aja;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel samaaaaa.. makin lama kok lelet yaa bang;Telkomsel;-1;-1;-1;-1
kok aplikasi mytelkomsel makin sampah sih? Lain yang di pencet lain yang di tekan. Layer belakangnya masih aktif tuh. Trus kok reward tsel poin jadi gada. Apa penukan poin udah ga bisa?;Telkomsel;-1;-1;-1;-1
RT @topantopel: Dear provider termahal @Telkomsel, sinyalnya perbaikin please.;Telkomsel;-1;0;0;0
@Telkomsel mahalnya doang luh, sinyalnya bagus juga kagak;Telkomsel;-1;-1;-1;-1
@Telkomsel Bikin aplikasi buat tipu tipu dan bermain culas, saya suka gayamu anjing;Telkomsel;-1;-1;-1;-1
@TelkomCare @Telkomsel @telkomselflash @Telkomsel leeeeemotttt;Telkomsel;-1;-1;-1;-1
RT @milhanElyamani: @Telkomsel mas tolong dong jaringannya diperbaiki. Masa 4g lambat banget. Download 70mb aja 1 jam coba gimana?;Telkomsel;-1;-1;-1;-1
jaringannya makin hari makin lelet mas. di tempat saya. gaktau kenapa. apalagi kalau mati lampu.. bisa kena Apk saya kalau main mobile legend;Telkomsel;-1;-1;-1;-1
Sinyal telkomsel lagi lemot ya? Bingung mau komplen berarti sama diri sendiri \ud83d\ude11;Telkomsel;-1;-1;-1;-1
Anjir sinyal telkomsel bikin emosi \ud83e\udd2c\ud83e\udd2c\ud83e\udd2c;Telkomsel;-1;-1;-1;-1
kok makin kesini sinyal gak ada ya....ilang mulu....gak stabil......biasanya dulu stabil tapi kenapa sekarang gak.......? Sinyalnya cepet sekali ilang?;Telkomsel;-1;-1;-1;-1
@Telkomsel sinyalmu lagi bosok apa gimana nih;Telkomsel;-1;-1;-1;-1
@ratihmeilati Indosat sih, apa telkomsel? Tjih mahal;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Dinikmati saja Bang...pelayanan prima ala telkomsel;Telkomsel;1;-1;1;1
@Telkomsel sinyalmu sungguh terlalu......... buruk;Telkomsel;-1;-1;-1;-1
Telkomsel lagi payah jaringan nya \ud83e\udd26\u200d\u2640;Telkomsel;-1;-1;-1;-1
Heran @Telkomsel dipasang di hp lemot dipasang di bolt lemot juga\ud83d\ude24;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Banyakan promo doang tapi lemot;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Aku juga merasa demikian bang.\nNtah kenapa di Batam leletnya minta ampun.;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Dari kemaren disiksa bgt sama tsel. Lemot parahhhhh;Telkomsel;-1;-1;-1;-1
Dear provider termahal @Telkomsel, sinyalnya perbaikin please.;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Bener tuh bang, ga di rumah n kantor lemot letih lesu tuh sinyal, kadang sinyal suka hilang.;Telkomsel;-1;-1;-1;-1
Sahhh... Pulsa dirampok \ud83d\udc4e @Telkomsel;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Walah ternyata banyak yg se nasib kalo @Telkomsel makin di pake makin lelet dan makin mahal;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Udah ganti sejak 2 thn lalu,memang lelet sekarang @Telkomsel;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Saya sudah 5 tahun gak pernah pakai Telkomsel.\nMahal tapi gak memuaskan.;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Bener Banget Bang, Harga nya doang yang Kenceng internet nya Loyo\ud83d\ude0f;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel sama bg. udah lelet mahal lagi\ud83d\ude25;Telkomsel;-1;-1;-1;-1
Halo Lg telkomsel, Di kota Sukabumi apa lg ada Gangguan jaringan? Soalnya sudah 3 Hari ini Sinyal Tidak Stabil dan Koneksi Internet menjadi sangat Lambat, Biasanya di tempat saya Full 4G jaringan stabil, Sekarang hanya 2 Bar 4G saja kadang switch ke H+ 3 Bar;Telkomsel;-1;0;0;0
Apa saya sendiri yang merasa kalau Telkomsel semakin hari semakin lelet internetnya ?#TetapNKRItetapPansilac;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Baru complain kemaren. \nPaling mahal tp lelet, dikirain ada harga ada kualitas ternyata kgk!;Telkomsel;-1;-1;-1;-1
kenapa sekarang jaringan simpati internet nya sering melambat untuk videomax nya pun seperti itu? @Telkomsel;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Mahal lagi \nSekarang gue pindah @smarfren1;Telkomsel;-1;-1;-1;-1
@Telkomsel halo. Semenjak hujan setelah magrib tadi data internet saya 3G terus. Semua social media jadi lambat bahkan failed to load terus.;Telkomsel;-1;-1;-1;-1
Di margonda depok tiap mati lampu kenapa sinyalnya langsung lemot parah ya bang @Telkomsel;Telkomsel;-1;-1;-1;-1
@BadmintonTalk Sinyalnya duhh sialan bener telkomsel tetep aja susah;Telkomsel;-1;-1;-1;-1
@aidilazhar30 @Telkomsel Mending segtu saya kena harga 125.. Down memang sinyal nya telkomsialan;Telkomsel;-1;-1;-1;-1
@Telkomsel ini harga naik terus tpi kualitas jaringan makin turun gimana ini, sinyal boleh 4g browsing aja lama;Telkomsel;-1;-1;-1;-1
Dalam 2 minggu terakhir ini, skrg adalah kali kedua hujan lebat + mati lampu lebih dari 4 jam + sinyal telkomsel sangat2 lemot cuma 1 atau 2 bar Berasa tinggal di daerah perbatasan, terpencil, dan kepulauan;Telkomsel;-1;-1;-1;-1
KESEEEEEEEEEL ASTAGAAAAA PLEASEEEE KESEEEL PISAAAAN GUA TOLOL SYALAN BANGSAT, DARITADI GUA SANTAI STREAMING YOUTUBE SPOTIFY DOWNLOAD TRS KUOTA TELKOMSEL AING YANG TERSEDOT GOBLOG BANGET SIH GUA;Telkomsel;-1;-1;-1;-1
admin, tiap hari telkomsel di hp saya mengalami gangguan. padahal saya butuh banget untuk di kampus. tolong banget min, jangan ada gangguan lagi :( kan jd susah ngerjain tugas di kampus :(;Telkomsel;-1;-1;0;-1
@Telkomsel Pulsa gw lw sedot tanpa konfirmasi. Padahal gw masih punya kuota chat+sosial media,kalo caranya begini sih sampah bgt!;Telkomsel;-1;-1;-1;-1
@Telkomsel hei, ini dari kemarin sinyal nya kok ampas sih? Buat kirim satu tweet aja lama;Telkomsel;-1;-1;-1;-1
@Telkomsel mohon cek keluhan saya,ini jaringan kalian lemot lagi nih kalau kondisi hujan..mohon cek dm;Telkomsel;-1;-1;-1;-1
Kalo udah jam 7 malam keatas apalagi hujan deras, sinyal @Telkomsel di Gading Mas Timur, Kelapa Gading langsung hilang bahkan No Service. Keren dah;Telkomsel;-1;-1;-1;-1
@Telkomsel min, sinyal 4g tp ga konek ke internet. Udh diganti ke h+ pun tetap gabisa konek. Solusinya asap;Telkomsel;-1;-1;-1;-1
Min simpati knpa ilang terus sinyal, padahal udh nyala lampu, reboot hp pun sudah,tapi nihil @Telkomsel;Telkomsel;-1;-1;-1;-1
ini verifikasi telkomsel salah mulu heran. itu kartu gue apa bukan sih kalo ditanya salah mulu jawabannya. yang bikin ya gue tapikan-.-;Telkomsel;-1;-1;-1;-1
Min @Telkomsel enak bgt nyedot pulsa orang! Ckck;Telkomsel;-1;-1;-1;-1
Harga paket makin mahal tapi kualitas sinyal makin kacau @Telkomsel;Telkomsel;-1;-1;-1;-1
 poin segini di tukerin apa ya??? Kena tipu mulu nih sama #pointasticdeal ketika di redeem muter terus, dan akhirnya maaf stock habis...;Telkomsel;-1;-1;-1;-1
ia makasih ya udah bisa kok terimakasih karna antisipasinya cepat jadi gak harus nunggu buat @Telkomsel smoga slalu jadi yang terdepan ya dalam hal playanan saya rasa sudah cukup baik;Telkomsel;1;1;1;1
@froyo__o betul qaqa tapi kalo mau yang tangguh di segala cuaca mah telkomsel aja \ud83d\ude02;Telkomsel;1;-1;1;1
@Telkomsel di daerah sini kok jaringan butut bgt ya?;Telkomsel;-1;-1;-1;-1
Ini sinyal telkomsel kalah sama sinyal smartfren \ud83d\ude02 ggwp bat smartfren;Telkomsel;-1;-1;-1;-1
Tanda tanda jaringan telkomsel gw lemah....\n\nBuka telegram menunggu jaringan;Telkomsel;-1;-1;-1;-1
Lah kampret... Masa jam 10.58 saya udah panteng tuh ngincer s9, udah pada waktunya gua redeem muter muter terus, eh stock habis... 3 hari ini di kibulin mulu...;Telkomsel;-1;-1;-1;-1
@alishanefertity cek saja di app my telkomsel\ntapi nggak ada tawaran yg menarik, makanya bingung mau diapain nih poin;Telkomsel;-1;-1;-1;-1
ini simpati kok ga stabil sih koneksinya di daerah madukismo bantul kak @Telkomsel? buat nge game ngadat mulu. 4G sinyal full loh. bts ga sampe 200 meter. diluar bangunan lagi.;Telkomsel;-1;-1;-1;-1
See? provider sampah.. bikin pengguna kecewa @Telkomsel https://t.co/wEOlcfcn7q;Telkomsel;-1;-1;-1;-1
@Telkomsel kenapa semenjak kemarin jaringannya jelek ya?;Telkomsel;-1;-1;-1;-1
boleh di benerin ga sinyal nya di daerah perumnas 1 bekasi makin lama makin parah nih kualitas sinyal nya percuma ajah beli mahal2 sinyql angot2an;Telkomsel;-1;-1;-1;-1
WOE AH @Telkomsel KENAPA SIH SAMA SINYAL NYA? YA AS YA SIMPATI BLANGSAK SEMUA. HERAN;Telkomsel;-1;-1;-1;-1
untungnya Scott pake telkomsel wkwk;Telkomsel;1;1;1;1
selamat malam, saya mau tanya. kenapa yaa dari kemarin malam jaringan gada terus di daerah batu aji-batam? saya penjual online dan hal ini menghambat usaha saya;Telkomsel;-1;0;-1;-1
telkomsel plis lah gangguan mulu sia tehhhhhhh;Telkomsel;-1;-1;-1;-1
maaf min uda beberapa hari sinyalnya kegantung gak tau dimanaa .. paketan masih tinggal 10gb suliiiit banget buat internetan;Telkomsel;-1;-1;-1;-1
Telkomsel lemot banget dah kenapa sih!!!!!!!;Telkomsel;-1;-1;-1;-1
@AT_AbdillahToha @kemkominfo Iklan-iklan tersebut sangat mengganggu! @Telkomsel @myXL \ud83d\ude20;Telkomsel;-1;-1;-1;-1
RT @yosuaDN: Telkomsel sinyal nya edun gak jelas gini kayak nasib urg.;Telkomsel;-1;-1;-1;-1
Telkomsel oh @Telkomsel kenapa jaringanmu buruk sekali... \ud83d\ude14;Telkomsel;-1;-1;-1;-1
Yang jelek hpnya apa tempatnya yang jelek apa jaringan telkomsel yang gangguan? Sinyalnya ilang-ilang mulu \ud83d\ude2b;Telkomsel;-1;-1;-1;-1
@Telkomsel min, telkomsel di simprug jaksel kok sinyalnye putus nyambung kek sobekan roti?;Telkomsel;-1;-1;-1;-1
telkomsel ini buluk banget dirumah, apa rumahku terkutuk bngst;Telkomsel;-1;-1;-1;-1
@Telkomsel kok tumben jaringannya lola begini yaaaa ...\n\nefek rindu ? eeh ujan maksdunya;Telkomsel;-1;0;0;0
@Telkomsel ngapa dah, tumben2an lemot :(;Telkomsel;-1;-1;-1;-1
Udah beberapa hari ini kenapa ya simpati ga stabil jaringannya? Suka tiba2 disconnect, lagi dengerin musik tiba2 berhenti, lagi browsing juga tiba2 ilang jaringannya. Why oh why??;Telkomsel;-1;-1;-1;-1
telkomsel tuh paket datanya aja yg mahal bgt bgt, giliran musim ujan kaya gini aja kualitas sinyal jelek nya kebangetan hhhhhhhhh!;Telkomsel;-1;-1;-1;-1
Waaaaa ayang scoot udah di jakarta, udah pake telkomsel soalnya wkwkwkwkwk https://t.co/Kiwf8wob9z;Telkomsel;0;0;0;0
@tubbirfess Pfft, telkomsel di daerah juga gua gangguan mulu herman;Telkomsel;-1;-1;-1;-1
Telkomsel ini knp jaringan amburadul kali akhir2 ini...;Telkomsel;-1;-1;-1;-1
Ini 4G nya ngaceng banget padahal tapi kok buat streaming 480 lari ke 144 mulu, mana muter muter terus macam gangsing aja, streaming 5 menit berasa 30 menit. Anda sehat @Telkomsel ?;Telkomsel;-1;-1;-1;-1
Aku sudah menukarkan 70 poin @Telkomsel untuk ambil paket nelfon :'(;Telkomsel;0;0;0;0
Ini kenapa dah @Telkomsel Sinyalnya jelek bat suek;Telkomsel;-1;-1;-1;-1
@_DPRREM PAKE TELKOMSEL BANYAK PROMONYA KAK.;Telkomsel;1;1;1;1
Kenapa ya telkomsel ngeselin;Telkomsel;-1;-1;-1;-1
sinyal @telkomsel sedang bermaslah kah? dr siang ga bisa connect internet;Telkomsel;-1;0;-1;-1
Telkomsel sinyal nya edun gak jelas gini kayak nasib urg.;Telkomsel;-1;-1;-1;-1
@Telkomsel kenapa signal sangat jelek kalau didalam ruangan..misalnya di dalam mall. (Kota Medan);Telkomsel;-1;-1;-1;-1
Ini paket coba d buat satu bulan.. Jaringan Telkomsel blm stabil dri down kemarin.. Gimna coba ngabisin nya.. Mna hati Nurani @Telkomsel #telkomseldown;Telkomsel;-1;-1;-1;-1
tapi ini mah cross selling maksaaa...mana bisa gitu...ganti simcard kan keharusan spy bisa terus dipakai di hp nya...ini kok malah nyusahin;Telkomsel;-1;-1;-1;-1
@risyaiff weseemelee muncul ocol bijaq e. wkkw. Siaaphhh. Ganti telkomsel dong kan elite:);Telkomsel;1;0;1;1
@_DPRREM hidup telkomsel;Telkomsel;1;0;0;0
Ini telkomsel jelek banget sinyalnya najissss;Telkomsel;-1;-1;-1;-1
Telkomsel ko akhir2 ini lambat ya..;Telkomsel;-1;-1;-1;-1
@Telkomsel kenapa ya semakin lama telkomsel si sukabumi jaringannya semakin buruk, padahal dulu saya merasa puas memakai telkomsel, tapi sekarang kalo boleh jujur saya meresa kecewa dengan jaringan yang seperti itu,;Telkomsel;-1;-1;-1;-1
SINYAL TELKOMSEL JELEK BANGET.;Telkomsel;-1;-1;-1;-1
Sinyal di dlm rumah saya di pondok kelapa lambat sekali...Bahkan untuk buka mention ini, saya harus tetherinh dari operator lain...;Telkomsel;-1;-1;-1;-1
"Telkomsel kenapa sih????\nLemot banget elahhhh!1!1!1!1!""";Telkomsel;-1;-1;-1;-1
@xximkvn @Telkomsel Karna jaringan telkomsel penipu;Telkomsel;-1;-1;-1;-1
@telkomsel kayanya bakal jadi brand fav k-artist :));Telkomsel;1;-1;1;1
@Telkomsel kenapa telkomsel setiap distasiun kereta n didalam kereta jaringannya kurang bagus ??? Padahal 4G, tapi buka internet loading terus;Telkomsel;-1;-1;-1;-1
Kenapa ya telkomsel kalau di rumah busuk banget jaringannya -_-;Telkomsel;-1;-1;-1;-1
 wahh.. sinyal data telkomsel semakin timbul tenggelam..lama² sunyi senyap. Kecepatan semakin turun kadang naik, spt komedi putar;Telkomsel;-1;-1;-1;-1
@Telkomsel Jaringan simpati ko lemot ya @telkomsel;Telkomsel;-1;-1;-1;-1
Kuota puluhan GB tapi lemot banget mau nonton video doang, gimana nih @Telkomsel udah berhari-hari begini mulu;Telkomsel;-1;-1;-1;-1
@Telkomsel BRENGSEK....sinyalnya  BENERIN jangan hanya benerin HARGA YANG MAHAL TERUS...;Telkomsel;-1;-1;-1;-1
Jaringan telkomsel di gedung ini kok ngeselin bgt ya. Sinyal 4G penuh, tapi buka medsos aja loadingnya lama.....;Telkomsel;-1;-1;-1;-1
Mantap ruang tamu gue. @telkomsel keok, @indosat ga nyala sama sekali. @FirstMediaCares gue kesamber petir;Telkomsel;-1;-1;0;-1
